moment,q0,q10,q50,q90,q100,corrected
2019-02-13T00:00Z,-8.87313000381469585,-8.85540689047546259,-8.83508715660476618,-8.57458178315810926,-8.27772468807983408,-8.77659578271341267
2019-02-14T00:00Z,-8.82590067557525515,-8.82117048649673485,-8.80585916183471618,-8.67532394140777541,-8.45219894737243571,-8.7748864123954764
2019-02-15T00:00Z,-8.80092893050384539,-8.79924219116592354,-8.78903131615829381,-8.68325904630508383,-8.4869985778045649,-8.76165080057684698
2019-02-16T00:00Z,-8.77442656237029972,-8.7688231974922175,-8.73930119265747152,-8.68832585428466686,-8.50894514306640559,-8.72754089343961148
2019-02-17T00:00Z,-8.75082504360198854,-8.74867051825866682,-8.73318542898559613,-8.64565970371017301,-8.34718594267272884,-8.70362257831032871
2019-02-18T00:00Z,-8.76993618617248494,-8.7680461699722283,-8.75200131442260698,-8.11656963794097841,-7.58518752157592679,-8.60581135238742512
2019-02-19T00:00Z,-8.77935206027984627,-8.77665815528411741,-8.74858654220199483,-8.16925962054443211,-7.66287251432800254,-8.60038756032021645
2019-02-20T00:00Z,-8.77967586638641251,-8.7773525036560045,-8.75622187629699766,-8.2043848407180775,-7.71178216059875332,-8.63314710240141459
2019-02-21T00:00Z,-8.77685333201599072,-8.76995112896194406,-8.75547328834915106,-7.59054136496887022,-6.92231238674926708,-8.42784575559870497
2019-02-22T00:00Z,-8.76833888923644977,-8.76520373803710839,-8.75743350050735359,-7.7295395206237778,-7.50294751458740095,-8.50267504983281874
2019-02-23T00:00Z,-8.77953928339385925,-8.77660150392837402,-8.76680946224212576,-8.12212505935058537,-7.95529304478454513,-8.61417062680530599
2019-02-24T00:00Z,-8.78151510643768241,-8.78014800666808881,-8.76618580979156548,-8.04971052645568719,-7.87244220927429161,-8.58389704305299439
2019-02-25T00:00Z,-8.75314418993377608,-8.74707663298187121,-8.7141143126754752,-7.742924466111754,-7.2811224038848863,-8.50492707438166562
2019-02-26T00:00Z,-8.75014855274963388,-8.73520932168731612,-8.72580428681182951,-8.69730632361755163,-8.59384273390197606,-8.71655787721983266
2019-02-27T00:00Z,-8.76560921688079731,-8.76170889499359085,-8.74609293006896849,-8.72291879672927806,-8.71293962017059265,-8.74284699290291378
